arrival_rate,throughput
0.5,0.49376945281771745
0.631578947368421,0.6236869831288417
0.763157894736842,0.7536134432569709
0.8947368421052632,0.883095568238398
1.026315789473684,1.0129364881233809
1.1578947368421053,1.1350748684125855
1.2894736842105263,1.1825444502036597
1.4210526315789473,1.1869992729331253
1.5526315789473684,1.187587467108671
1.6842105263157894,1.189076709094105
1.8157894736842104,1.1939582138110498
1.9473684210526314,1.1938148549401193
2.0789473684210527,1.1827863004190562
2.2105263157894735,1.1808316872832105
2.3421052631578947,1.1792741967564884
2.473684210526316,1.195009235957516
2.6052631578947367,1.1894912182214334
2.736842105263158,1.1844963698374062
2.8684210526315788,1.1855415511501344
3.0,1.1766790320526264
